,smiles,stat3_25,imr90_viability,is_hit
89,FC1C=CC2=NC(C(OC)=O)=CC(OCC(NC3C=CC4OCCOC=4C=3)=O)=C2C=1,1.041871921,0.971462677,0
90,N1(CC2C=CC=CC=2)C(=O)CC(CC1=O)C1C=CC(OC)=C(OC)C=1,1.289408867,1.058217758,0
91,O=C1C2=NN=C(C(C)C)N2C2C=CC=CC=2N1CC(NC1CCCCC1)=O,1.004926108,0.871435364,0
92,C1(=NC=NC(N2CCCC2)=C1)N1CCC(CC1)C(=O)NC1=CC=CC(=C1)C(OC)=O,0.661330049,1.148857394,0
93,ClC1C=CC=C(F)C=1COC1C=C(C(OC)=O)N=C2C=CC(F)=CC=12,1.108374384,0.751014132,0
94,C1(=CC2=CC=C(N(CC)CC)C=C2OC1=O)C1=NN=C(C2C=CC=C(OC)C=2)O1,1.618226601,0.995741151,0
95,FC1C=CC2=NC=C(C(N3CCOCC3)=O)C(NC3C=CC4OCOC=4C=3)=C2C=1,1.222906404,1.080877667,0
96,C1(C(OC)=O)C(=O)NC2=CC=C(F)C=C2C=1NCC1=CC=C(C=C1)C(F)(F)F,0.971674877,0.824173267,0
97,C1(Br)C(=CC=C2C=CC=CC=12)OCC(=O)NC1CCCCC1,1.725369458,0.89700869,0
98,O=C1CC(C(N2CCC(OC3C(OC)=NC=CN=3)C2)=O)CN1C,1.145320197,0.948802768,0
99,C1(C)(C)C(CCC1(C)C(O)=O)C(=O)NC1C(OC)=CC=C(OC)C=1,1.012315271,0.974376094,0
100,FC(C1C=CC(=O)N(CCNC(C2C=CC(OC3CCCC3)=NC=2)=O)N=1)(F)F,0.942118227,0.979555502,0
101,O=C1CCC2C=C(NC(CN3C(=O)C4C=CC=CC=4C3=O)=O)C=CC=2N1CC(C)C,0.908866995,0.967901834,0
102,N12C(=O)C(C)=C(C)NC1=NC(N(CC1C=CC=CC=1)C(=O)CC(C)C)=N2,1.248768473,0.789859691,0
103,S(CC(NC1C=CC=CC=1F)=O)C1N(CCOC)C(=O)C2N(C)C=C(C3C=CC=CC=3)C=2N=1,1.06773399,0.739684178,0
104,N12C(=O)C=C(CN3CCN(CC3)C3C=CC(=CC=3)F)NC1=NC(C1C=CC(=CC=1)F)=N2,1.060344828,0.942004795,0
105,C1(=N/C2C=CC(F)=CC=2)/SC=C(C2C=CC(F)=CC=2)N/1CCO,0.908866995,0.922582016,0
106,S1(=O)(=O)CC(C)C(=O)N1C1C=CC(=CC=1)C(=O)N1CCN(CC1)C1C=CC=CN=1,1.030788177,0.883412744,0
107,S1C=CC2N3C(N(CC4C=CC=C(C)C=4)N=C3N(CC3C=CC=CC=3OC)C(=O)C1=2)=O,0.964285714,0.789859691,0
108,N1(N=C(C)C(CC(=O)NC2C=CC=C(OC)C=2)=C1O)C1SC=C(C2C=CC(=CC=2)Cl)N=1,1.315270936,1.052714637,0
109,C1(N(C(=O)C2C=CC=C(OC)C=2)C(=O)C2C=CC=C(OC)C=2)=C(C)N(N(C2C=CC=CC=2)C1=O)C,1.156403941,1.028759876,0
110,C(=O)(NC1=CC=C(C(C)=C1)NC(=O)C1=CC=CO1)C1C(=CC=CC=1OC)OC,1.21182266,1.187702953,0
111,S(=O)(=O)(C1C=CC(=CC=1)C1=NN=C(C(=O)NCC2CCCN2CC)O1)N1CCCCC1,1.32635468,1.167632748,0
112,O=C(C1=CC=CO1)NC1C=CC(NC2C=C(OCCC)N=C(C)N=2)=CC=1,0.768472906,1.240791883,0
113,C1(SC=C(C2C=CC(C)=CC=2)N=1)NC(CSC1C(C#N)=CC2=C(CCN(C(C)C)C2)N=1)=O,1.18226601,0.870787938,0
114,S(C1C=C(C)C=CC=1OC)(N1CCN(C2C=C(OCCC)N=C(C)N=2)CC1)(=O)=O,0.587438424,1.133966597,0
115,S(=O)(=O)(C1C=CC(=CC=1)C1=NN=C(C(=O)NCC2=CC=CN=C2)O1)N1CCCCC1,1.034482759,0.830000101,0
116,N1C(C2=CC=C3C(OCC(=O)N3CC)=C2)=NOC=1C(NCCC1C=CC=CC=1)=O,1.034482759,1.009984522,0
117,C12=CC(C3C=CC=CC=3)=NN1C=CN=C2N1CCN(CC1)C1C=CC=CC=1C,0.731527094,0.983440057,0
118,S(=O)(=O)(NC1C(Cl)=CC=C(F)C=1)C1=CN(C(C2SC=C(C)N=2)=C1)CC(=O)N1CCCC1,1.016009852,0.851365158,0
119,C12N(C)C(=O)N(C(=O)C=1N1CCCN(C3CCCCC3)C1=N2)CCN1CCOCC1,0.971674877,1.018724773,0
120,S1C=CC=C1CC(NC1C=CC(C2C=CC(N3CCCCC3)=NN=2)=CC=1)=O,2.068965517,1.05951261,0
121,C1(N=CC2=C(CC(C)CC2=O)N=1)N1CCN(CC1)C(OCC)=O,1.400246305,0.969196686,0
122,BrC1C=CC(C2C3C(N(CC(C)C)CC=3NC(=O)N2)=O)=CC=1,1.115763547,1.102242724,0
123,C1(C(C)=NN(C2C=CC=CC=2)C=1O)/C(/C1C=CC=CC=1F)=N/NC(=O)C1C=CC=C(OC)C=1,0.251231527,0.831294953,0
124,O=C(NC1C=CC(C)=C(C)C=1)N1CCN2C=CC=C2C1C1C=CC=CC=1,1.149014778,1.175725572,0
125,S1C2C=CC=C(C)C=2N=C1N1CCN(C2C3=CC(C)=NN3C=CN=2)CC1,0.232758621,1.091883908,0
126,O=C(N1CCC2C=CC(NC(C3=CC4C=CC=C(OC)C=4O3)=O)=CC=2C1)OC,0.217980296,0.658108505,0
127,C1(C2=CC=CN=C2NCCN2CCC(C)CC2)=NN=C(C2C=CC(=CC=2)Cl)O1,1.352216749,0.965959556,0
128,O=C(C1C=CC=C2C=CC=CC=12)NC1C=CC2CCN(C(C3=CC=CO3)=O)CC=2C=1,0.580049261,0.495928298,0
129,C1(C(=O)N2CCN(CC2)C2C=CC(C)=CC=2C)=NN=C(C2=CC=C(C=C2)S(=O)(=O)N2CCCC2)O1,1.134236453,0.876291058,0
130,O=C(C1=CC=CO1)N1CCC2C=CC(NC(C3CC3)=O)=CC=2C1,1.174876847,1.236583614,0
131,C1(C=CC(OC)=CC=1OC)C(=O)NC1=CC=CC=C1NC(=O)C1=CC=CO1,1.089901478,1.09641589,0
132,O=C(O)CC1N(CCNC1=O)CC2=CC(OC3=CC=CC=C3)=CC=C2,1.145320197,1.273810608,0
